epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,3999.74,0.784,0.71896,1.09717,0.79389,0.77625,0.8338,0.64302,1.04044,0.92019,1.09319,0.007228,0.007228,0.007228
44,4094.17,0.77942,0.70828,1.1032,0.77372,0.71039,0.81579,0.62202,1.0376,0.85708,1.09904,0.007162,0.007162,0.007162
45,4189.38,0.77449,0.70767,1.09772,0.82713,0.70901,0.83071,0.65239,1.04806,0.82327,1.09247,0.007096,0.007096,0.007096
46,4283.92,0.77042,0.69645,1.0903,0.80279,0.72062,0.8279,0.65163,1.0312,0.82817,1.0655,0.00703,0.00703,0.00703
47,4378.81,0.76175,0.69149,1.08757,0.80546,0.72163,0.82441,0.64341,1.02941,0.78817,1.07663,0.006964,0.006964,0.006964
48,4472.33,0.76173,0.69379,1.09125,0.82741,0.74901,0.84822,0.66147,0.99038,0.79629,1.04571,0.006898,0.006898,0.006898
49,4566.42,0.76117,0.68082,1.09305,0.78054,0.78171,0.82606,0.64118,0.9928,0.83364,1.06422,0.006832,0.006832,0.006832
50,4660.85,0.7526,0.68048,1.08432,0.8021,0.78452,0.83813,0.65687,1.00836,0.86801,1.07506,0.006766,0.006766,0.006766
51,4756.74,0.75052,0.66256,1.07939,0.84855,0.73769,0.83611,0.65417,1.00465,0.8642,1.05634,0.0067,0.0067,0.0067
52,4851.19,0.76409,0.67528,1.09099,0.77765,0.78867,0.8392,0.64561,1.01334,0.7474,1.06162,0.006634,0.006634,0.006634
53,4946.43,0.73553,0.64938,1.07387,0.80939,0.7525,0.8471,0.67055,1.00981,0.79966,1.05902,0.006568,0.006568,0.006568
54,5040.63,0.74216,0.65985,1.07973,0.85058,0.76983,0.86053,0.68306,1.01342,0.75362,1.05052,0.006502,0.006502,0.006502
55,5135.63,0.75422,0.6608,1.08156,0.81752,0.77136,0.85428,0.67521,1.01829,0.75089,1.08244,0.006436,0.006436,0.006436
56,5231.18,0.73222,0.64888,1.07223,0.74799,0.804,0.84118,0.66212,1.07688,0.84334,1.11666,0.00637,0.00637,0.00637
57,5325.46,0.7264,0.63964,1.07236,0.81707,0.744,0.85361,0.67857,1.0133,0.78465,1.06443,0.006304,0.006304,0.006304
58,5418.89,0.73003,0.6295,1.07007,0.83282,0.74901,0.83592,0.64862,1.02962,0.7296,1.06096,0.006238,0.006238,0.006238
59,5513.43,0.72547,0.63157,1.06786,0.8147,0.7595,0.82686,0.65968,1.0591,0.72188,1.11143,0.006172,0.006172,0.006172
60,5608.18,0.72378,0.63069,1.06893,0.88583,0.77302,0.87284,0.6919,1.00733,0.69475,1.06484,0.006106,0.006106,0.006106
61,5701.93,0.72061,0.62491,1.06657,0.81656,0.77876,0.84369,0.66414,1.06814,0.72423,1.09048,0.00604,0.00604,0.00604
62,5796.74,0.72396,0.61614,1.06593,0.84492,0.78691,0.87677,0.69024,0.98371,0.6832,1.05583,0.005974,0.005974,0.005974
63,5891.74,0.71532,0.61055,1.06328,0.87648,0.78731,0.88739,0.69863,1.01458,0.65406,1.06986,0.005908,0.005908,0.005908
64,5986.43,0.71243,0.61528,1.06141,0.88293,0.77917,0.88417,0.70337,0.96574,0.66895,1.03114,0.005842,0.005842,0.005842
65,6081.61,0.71278,0.60674,1.0633,0.85052,0.78377,0.86443,0.68533,0.97563,0.66026,1.03251,0.005776,0.005776,0.005776
66,6178.51,0.7113,0.60905,1.05858,0.8305,0.80857,0.88149,0.69669,1.00851,0.72897,1.04548,0.00571,0.00571,0.00571
67,6274.48,0.69982,0.59466,1.05138,0.81081,0.81973,0.88077,0.69756,0.96962,0.6817,1.04342,0.005644,0.005644,0.005644
68,6369.75,0.70523,0.59623,1.059,0.85192,0.78459,0.87162,0.70444,0.94895,0.73676,1.03179,0.005578,0.005578,0.005578
69,6464.67,0.69853,0.58997,1.05028,0.84189,0.80433,0.87252,0.69015,0.97861,0.70065,1.04216,0.005512,0.005512,0.005512
